Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00002","0.00105"
"0.10000","0.12517","-0.00659"
"0.20000","0.29833","0.00763"
"0.30000","0.46570","-0.00272"
"0.40000","0.63240","0.00656"
"0.50000","0.79909","-0.00095"
"0.60000","0.96575","0.00644"
"0.70000","1.13248","-0.00081"
"0.80000","1.29918","-0.00002"
"0.90000","1.46588","0.00234"
"1.00000","1.63258","-0.00034"
"1.10000","1.79917","0.00435"
"1.20000","1.96580","-0.00275"
"1.30000","2.13242","-0.00235"
"1.40000","2.29910","0.00296"
"1.50000","2.46578","0.00438"
"1.60000","2.63253","0.00387"
"1.70000","2.79918","0.00900"
"1.80000","2.96593","0.00504"
"1.90000","3.13259","0.00123"
"2.00000","3.29920","-0.00076"
"2.10000","3.46577","0.00753"
"2.20000","3.63255","0.00718"
"2.30000","3.79906","0.00660"
"2.40000","3.96568","0.00864"
"2.50000","4.13234","0.00476"
"2.60000","4.29927","0.00926"
"2.70000","4.46598","0.00986"
"2.80000","4.63280","0.00681"
"2.90000","4.79916","0.01088"
"3.00000","4.96579","0.01397"
"3.10000","5.13242","0.00846"
"3.20000","5.29908","0.01270"
"3.30000","5.46570","0.01044"
"3.40000","5.63249","0.01900"
"3.50000","5.79927","0.00998"
"3.60000","5.96598","0.00687"
"3.70000","6.13260","0.01003"
"3.80000","6.29916","0.00327"
"3.90000","6.46570","0.00714"
"4.00000","6.63240","0.00857"
"4.10000","6.79912","0.00007"
"4.20000","6.96582","0.01727"
"4.30000","7.13253","0.01064"
"4.40000","7.29924","0.01560"
"4.50000","7.46602","0.01842"
"4.60000","7.63260","0.01206"
"4.70000","7.79914","0.01515"
"4.80000","7.96580","0.01857"
"4.90000","8.13244","0.00125"
"5.00000","8.29908","0.00820"
"5.10000","8.46578","0.01512"
"5.20000","8.63245","0.01039"
"5.30000","8.79927","0.01568"
"5.40000","8.96597","0.01013"
"5.50000","9.13253","0.00517"
"5.60000","9.29912","0.01943"
"5.70000","9.46584","0.01865"
"5.80000","9.63257","0.01731"
"5.90000","9.79911","0.02503"
"6.00000","9.96574","0.02873"
"6.10000","10.13247","0.02969"
"6.20000","10.29927","0.03071"
"6.30000","10.46596","0.02925"
"6.40000","10.63251","0.02786"
"6.50000","10.79919","0.03639"
"6.60000","10.96574","0.03518"
"6.70000","11.13248","0.03318"
"6.80000","11.29916","0.03048"
"6.90000","11.46576","0.04496"
"7.00000","11.63238","0.04152"
"7.10000","11.79913","0.04377"
"7.20000","11.96596","0.04525"
"7.30000","12.13271","0.05123"
"7.40000","12.29919","0.04653"
"7.50000","12.46580","0.05532"
"7.60000","12.63240","0.05412"
"7.70000","12.79904","0.06561"
"7.80000","12.96576","0.06700"
"7.90000","13.13244","0.06692"
"8.00000","13.29925","0.06718"
"8.10000","13.46598","0.07652"
"8.20000","13.63262","0.07748"
"8.30000","13.79921","0.07610"
"8.40000","13.96575","0.08459"
"8.50000","14.13242","0.08528"
"8.60000","14.29900","0.08187"
"8.70000","14.46572","0.09708"
"8.80000","14.63257","0.09836"
"8.90000","14.79938","0.09697"
