Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00002","-0.00458"
"0.10000","0.12478","-0.01411"
"0.20000","0.29829","-0.00862"
"0.30000","0.46562","-0.00254"
"0.40000","0.63247","-0.00542"
"0.50000","0.79916","0.00255"
"0.60000","0.96588","-0.00667"
"0.70000","1.13261","-0.00576"
"0.80000","1.29923","-0.01896"
"0.90000","1.46587","-0.00978"
"1.00000","1.63245","-0.01027"
"1.10000","1.79907","-0.00775"
"1.20000","1.96577","-0.00781"
"1.30000","2.13235","-0.00852"
"1.40000","2.29917","-0.00603"
"1.50000","2.46606","-0.01050"
"1.60000","2.63259","-0.01392"
"1.70000","2.79923","-0.00771"
"1.80000","2.96591","-0.00874"
"1.90000","3.13253","-0.00878"
"2.00000","3.29897","-0.01364"
"2.10000","3.46558","-0.01232"
"2.20000","3.63242","-0.00171"
"2.30000","3.79915","-0.01411"
"2.40000","3.96600","-0.00562"
"2.50000","4.13259","-0.00707"
"2.60000","4.29923","-0.00386"
"2.70000","4.46588","-0.01709"
"2.80000","4.63248","-0.00622"
"2.90000","4.79911","-0.00638"
"3.00000","4.96575","0.00223"
"3.10000","5.13241","-0.00603"
"3.20000","5.29925","-0.00404"
"3.30000","5.46597","-0.00445"
"3.40000","5.63262","-0.00391"
"3.50000","5.79916","-0.00290"
"3.60000","5.96577","-0.01082"
"3.70000","6.13244","-0.01106"
"3.80000","6.29914","-0.00327"
"3.90000","6.46572","-0.00550"
"4.00000","6.63238","-0.00372"
"4.10000","6.79924","-0.00238"
"4.20000","6.96601","-0.00548"
"4.30000","7.13249","-0.00567"
"4.40000","7.29925","-0.00169"
"4.50000","7.46587","-0.00420"
"4.60000","7.63244","-0.01355"
"4.70000","7.79911","-0.00068"
"4.80000","7.96568","-0.00159"
"4.90000","8.13247","-0.00828"
"5.00000","8.29927","0.00011"
"5.10000","8.46591","-0.00607"
"5.20000","8.63255","-0.00570"
"5.30000","8.79914","-0.00239"
"5.40000","8.96588","0.00126"
"5.50000","9.13255","0.00615"
"5.60000","9.29902","-0.00720"
"5.70000","9.46575","-0.00082"
"5.80000","9.63234","0.00030"
"5.90000","9.79921","-0.00763"
"6.00000","9.96591","0.00010"
"6.10000","10.13273","0.00273"
"6.20000","10.29921","0.00420"
"6.30000","10.46585","-0.00430"
"6.40000","10.63265","-0.00302"
"6.50000","10.79912","0.00788"
"6.60000","10.96558","-0.00063"
"6.70000","11.13235","0.00796"
"6.80000","11.29917","0.00449"
"6.90000","11.46612","0.00800"
"7.00000","11.63261","-0.00602"
"7.10000","11.79930","0.00032"
"7.20000","11.96590","-0.00783"
"7.30000","12.13244","0.00065"
"7.40000","12.29919","-0.00063"
"7.50000","12.46570","0.00301"
"7.60000","12.63241","0.00469"
"7.70000","12.79927","-0.00012"
"7.80000","12.96593","0.00332"
"7.90000","13.13266","0.00104"
"8.00000","13.29927","0.00863"
"8.10000","13.46584","0.00055"
"8.20000","13.63245","0.00377"
"8.30000","13.79900","0.00211"
"8.40000","13.96573","0.00361"
"8.50000","14.13244","0.00281"
"8.60000","14.29923","0.00830"
