Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"75.00000",mm/min
General : Start date,"9/12/2024"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00002","-0.01618"
"0.00100","0.00002","-0.01647"
"0.00200","0.00002","-0.01664"
"0.00300","0.00003","-0.01659"
"0.00400","0.00003","-0.01623"
"0.00500","0.00003","-0.01549"
"0.00600","0.00003","-0.01431"
"0.00700","0.00003","-0.01265"
"0.00800","0.00003","-0.01054"
"0.00900","0.00003","-0.00800"
"0.01000","0.00004","-0.00504"
"0.01100","0.00005","-0.00174"
"0.01200","0.00007","0.00184"
"0.01300","0.00009","0.00571"
"0.01400","0.00012","0.00989"
"0.01500","0.00015","0.01424"
"0.01600","0.00020","0.01894"
"0.01700","0.00026","0.02476"
"0.01800","0.00033","0.03225"
"0.01900","0.00042","0.04103"
"0.02000","0.00052","0.04999"
"0.02100","0.00065","0.05834"
"0.02200","0.00079","0.06617"
"0.02300","0.00096","0.07380"
"0.02400","0.00116","0.08113"
"0.02500","0.00138","0.08803"
"0.02600","0.00163","0.09467"
"0.02700","0.00192","0.10131"
"0.02800","0.00223","0.10783"
"0.02900","0.00258","0.11400"
"0.03000","0.00297","0.12000"
"0.03100","0.00340","0.12595"
"0.03200","0.00386","0.13154"
"0.03300","0.00437","0.13626"
"0.03400","0.00491","0.13987"
"0.03500","0.00550","0.14244"
"0.03600","0.00613","0.14394"
"0.03700","0.00680","0.14437"
"0.03800","0.00752","0.14413"
"0.03900","0.00827","0.14362"
"0.04000","0.00908","0.14286"
"0.04100","0.00992","0.14157"
"0.04200","0.01081","0.13974"
"0.04300","0.01173","0.13771"
"0.04400","0.01270","0.13553"
"0.04500","0.01371","0.13294"
"0.04600","0.01476","0.12987"
"0.04700","0.01584","0.12629"
"0.04800","0.01697","0.12210"
"0.04900","0.01812","0.11723"
"0.05000","0.01932","0.11194"
"0.05100","0.02054","0.10663"
"0.05200","0.02180","0.10132"
"0.05300","0.02308","0.09602"
"0.05400","0.02440","0.09086"
"0.05500","0.02574","0.08594"
"0.05600","0.02711","0.08105"
"0.05700","0.02850","0.07579"
"0.05800","0.02991","0.07003"
"0.05900","0.03134","0.06382"
"0.06000","0.03279","0.05694"
"0.06100","0.03426","0.04925"
"0.06200","0.03575","0.04122"
"0.06300","0.03724","0.03394"
"0.06400","0.03876","0.02825"
"0.06500","0.04028","0.02403"
"0.06600","0.04181","0.02048"
"0.06700","0.04335","0.01685"
"0.06800","0.04490","0.01289"
"0.06900","0.04646","0.00868"
"0.07000","0.04802","0.00432"
"0.07100","0.04958","0.00000"
"0.07200","0.05115","-0.00400"
"0.07300","0.05272","-0.00757"
"0.07400","0.05429","-0.01091"
"0.07500","0.05586","-0.01421"
"0.07600","0.05742","-0.01736"
"0.07700","0.05899","-0.02004"
"0.07800","0.06056","-0.02206"
"0.07900","0.06212","-0.02352"
"0.08000","0.06368","-0.02468"
"0.08100","0.06523","-0.02576"
"0.08200","0.06678","-0.02692"
"0.08300","0.06832","-0.02824"
"0.08400","0.06986","-0.02970"
"0.08500","0.07140","-0.03118"
"0.08600","0.07292","-0.03263"
"0.08700","0.07444","-0.03401"
"0.08800","0.07596","-0.03515"
"0.08900","0.07747","-0.03585"
"0.09000","0.07897","-0.03597"
"0.09100","0.08046","-0.03558"
"0.09200","0.08195","-0.03490"
"0.09300","0.08343","-0.03421"
"0.09400","0.08491","-0.03380"
"0.09500","0.08637","-0.03388"
"0.09600","0.08783","-0.03444"
"0.09700","0.08929","-0.03518"
"0.09800","0.09074","-0.03576"
"0.09900","0.09218","-0.03606"
"0.10000","0.09361","-0.03607"
"0.10100","0.09504","-0.03572"
"0.10200","0.09646","-0.03501"
"0.10300","0.09787","-0.03403"
"0.10400","0.09928","-0.03292"
"0.10500","0.10068","-0.03179"
"0.10600","0.10208","-0.03080"
"0.10700","0.10347","-0.03010"
"0.10800","0.10486","-0.02977"
"0.10900","0.10624","-0.02973"
"0.11000","0.10761","-0.02981"
"0.11100","0.10899","-0.02986"
"0.11200","0.11035","-0.02976"
"0.11300","0.11171","-0.02941"
"0.11400","0.11307","-0.02876"
"0.11500","0.11442","-0.02787"
"0.11600","0.11577","-0.02688"
"0.11700","0.11712","-0.02593"
"0.11800","0.11846","-0.02521"
"0.11900","0.11980","-0.02489"
"0.12000","0.12113","-0.02506"
"0.12100","0.12246","-0.02562"
"0.12200","0.12379","-0.02633"
"0.12300","0.12511","-0.02699"
"0.12400","0.12643","-0.02740"
"0.12500","0.12775","-0.02748"
"0.12600","0.12906","-0.02726"
"0.12700","0.13037","-0.02682"
"0.12800","0.13168","-0.02630"
"0.12900","0.13299","-0.02584"
"0.13000","0.13429","-0.02550"
"0.13100","0.13559","-0.02528"
"0.13200","0.13689","-0.02518"
"0.13300","0.13819","-0.02518"
"0.13400","0.13948","-0.02519"
"0.13500","0.14078","-0.02512"
"0.13600","0.14207","-0.02489"
"0.13700","0.14336","-0.02452"
"0.13800","0.14465","-0.02404"
"0.13900","0.14594","-0.02348"
"0.14000","0.14722","-0.02283"
"0.14100","0.14851","-0.02218"
"0.14200","0.14979","-0.02166"
"0.14300","0.15108","-0.02143"
"0.14400","0.15236","-0.02158"
"0.14500","0.15364","-0.02215"
"0.14600","0.15492","-0.02302"
"0.14700","0.15620","-0.02396"
"0.14800","0.15748","-0.02474"
"0.14900","0.15876","-0.02523"
"0.15000","0.16004","-0.02540"
"0.15100","0.16132","-0.02537"
"0.15200","0.16260","-0.02527"
"0.15300","0.16388","-0.02525"
"0.15400","0.16515","-0.02540"
"0.15500","0.16643","-0.02574"
"0.15600","0.16770","-0.02626"
"0.15700","0.16898","-0.02694"
"0.15800","0.17025","-0.02777"
"0.15900","0.17153","-0.02866"
"0.16000","0.17280","-0.02943"
"0.16100","0.17407","-0.02992"
"0.16200","0.17534","-0.03002"
"0.16300","0.17662","-0.02972"
"0.16400","0.17789","-0.02906"
"0.16500","0.17916","-0.02811"
"0.16600","0.18043","-0.02697"
"0.16700","0.18170","-0.02582"
"0.16800","0.18298","-0.02491"
"0.16900","0.18425","-0.02436"
"0.17000","0.18552","-0.02416"
"0.17100","0.18679","-0.02410"
"0.17200","0.18806","-0.02397"
"0.17300","0.18933","-0.02367"
"0.17400","0.19061","-0.02313"
"0.17500","0.19188","-0.02230"
"0.17600","0.19315","-0.02125"
"0.17700","0.19442","-0.02016"
"0.17800","0.19569","-0.01925"
"0.17900","0.19697","-0.01865"
"0.18000","0.19824","-0.01840"
"0.18100","0.19951","-0.01843"
"0.18200","0.20078","-0.01861"
"0.18300","0.20205","-0.01882"
"0.18400","0.20332","-0.01891"
"0.18500","0.20459","-0.01876"
"0.18600","0.20587","-0.01832"
"0.18700","0.20714","-0.01762"
"0.18800","0.20841","-0.01671"
"0.18900","0.20967","-0.01568"
"0.19000","0.21094","-0.01461"
"0.19100","0.21221","-0.01368"
"0.19200","0.21348","-0.01309"
"0.19300","0.21475","-0.01297"
"0.19400","0.21602","-0.01324"
"0.19500","0.21729","-0.01369"
"0.19600","0.21855","-0.01406"
"0.19700","0.21982","-0.01413"
"0.19800","0.22109","-0.01374"
"0.19900","0.22236","-0.01298"
"0.20000","0.22363","-0.01212"
"0.20100","0.22489","-0.01145"
"0.20200","0.22616","-0.01110"
"0.20300","0.22743","-0.01108"
"0.20400","0.22869","-0.01143"
"0.20500","0.22996","-0.01220"
"0.20600","0.23123","-0.01329"
"0.20700","0.23249","-0.01452"
"0.20800","0.23376","-0.01575"
"0.20900","0.23503","-0.01682"
"0.21000","0.23629","-0.01753"
"0.21100","0.23756","-0.01776"
"0.21200","0.23882","-0.01756"
"0.21300","0.24009","-0.01706"
"0.21400","0.24135","-0.01642"
"0.21500","0.24261","-0.01582"
"0.21600","0.24388","-0.01545"
"0.21700","0.24514","-0.01540"
"0.21800","0.24640","-0.01551"
"0.21900","0.24766","-0.01552"
"0.22000","0.24893","-0.01530"
"0.22100","0.25019","-0.01484"
"0.22200","0.25145","-0.01415"
"0.22300","0.25271","-0.01319"
"0.22400","0.25397","-0.01210"
"0.22500","0.25523","-0.01102"
"0.22600","0.25649","-0.01010"
"0.22700","0.25775","-0.00941"
"0.22800","0.25902","-0.00908"
"0.22900","0.26028","-0.00908"
"0.23000","0.26154","-0.00916"
"0.23100","0.26280","-0.00917"
"0.23200","0.26406","-0.00918"
"0.23300","0.26532","-0.00927"
"0.23400","0.26658","-0.00927"
"0.23500","0.26784","-0.00901"
"0.23600","0.26910","-0.00852"
"0.23700","0.27037","-0.00806"
"0.23800","0.27163","-0.00779"
"0.23900","0.27289","-0.00770"
"0.24000","0.27415","-0.00775"
"0.24100","0.27541","-0.00805"
"0.24200","0.27667","-0.00868"
"0.24300","0.27793","-0.00951"
"0.24400","0.27919","-0.01039"
"0.24500","0.28045","-0.01124"
"0.24600","0.28170","-0.01194"
