Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s

Time,Extension,Load
(s),(mm),(N)
"0.00000","-7.39097","-0.01684"
"0.10000","-7.26628","-0.01938"
"0.20000","-7.09276","-0.00913"
"0.30000","-6.92533","-0.01092"
"0.40000","-6.75858","-0.01333"
"0.50000","-6.59196","-0.01846"
"0.60000","-6.42538","-0.01131"
"0.70000","-6.25849","-0.00466"
"0.80000","-6.09170","-0.00592"
"0.90000","-5.92502","-0.01090"
"1.00000","-5.75848","-0.00733"
"1.10000","-5.59191","-0.00785"
"1.20000","-5.42533","-0.01149"
"1.30000","-5.25861","-0.01784"
"1.40000","-5.09195","-0.01010"
"1.50000","-4.92527","-0.00768"
"1.60000","-4.75848","-0.01416"
"1.70000","-4.59175","-0.00791"
"1.80000","-4.42508","-0.01662"
"1.90000","-4.25851","-0.01461"
"2.00000","-4.09189","-0.00805"
"2.10000","-3.92539","-0.00698"
"2.20000","-3.75865","-0.01719"
"2.30000","-3.59179","-0.01221"
"2.40000","-3.42515","-0.01395"
"2.50000","-3.25864","-0.00675"
"2.60000","-3.09173","-0.01216"
"2.70000","-2.92507","-0.01049"
"2.80000","-2.75849","-0.01726"
"2.90000","-2.59193","-0.01115"
"3.00000","-2.42527","-0.00918"
"3.10000","-2.25867","-0.01199"
"3.20000","-2.09194","-0.00737"
"3.30000","-1.92527","-0.01320"
"3.40000","-1.75847","-0.00514"
"3.50000","-1.59178","-0.00816"
"3.60000","-1.42507","-0.00248"
"3.70000","-1.25852","-0.00673"
"3.80000","-1.09187","-0.01045"
"3.90000","-0.92517","-0.00694"
"4.00000","-0.75864","-0.00877"
"4.10000","-0.59193","-0.00486"
"4.20000","-0.42525","-0.01088"
"4.30000","-0.25851","0.00240"
"4.40000","-0.09180","-0.00940"
"4.50000","0.07496","-0.01522"
"4.60000","0.24147","-0.00734"
"4.70000","0.40799","-0.00531"
"4.80000","0.57477","-0.01185"
"4.90000","0.74144","-0.00735"
"5.00000","0.90805","-0.00696"
"5.10000","1.07463","0.00458"
"5.20000","1.24132","-0.01228"
"5.30000","1.40825","-0.01346"
"5.40000","1.57517","-0.00230"
"5.50000","1.74152","-0.01036"
"5.60000","1.90806","-0.00505"
"5.70000","2.07468","-0.00293"
"5.80000","2.24134","-0.00350"
"5.90000","2.40805","-0.00278"
"6.00000","2.57478","-0.00557"
"6.10000","2.74142","-0.00449"
"6.20000","2.90825","-0.00004"
"6.30000","3.07497","-0.00696"
"6.40000","3.24159","-0.00202"
"6.50000","3.40804","-0.00271"
"6.60000","3.57463","0.00108"
"6.70000","3.74128","-0.00045"
"6.80000","3.90805","0.00097"
"6.90000","4.07491","-0.00303"
"7.00000","4.24154","-0.00834"
"7.10000","4.40816","-0.00553"
"7.20000","4.57486","-0.00223"
"7.30000","4.74152","-0.00200"
"7.40000","4.90812","-0.00041"
"7.50000","5.07469","-0.00670"
"7.60000","5.24133","-0.00467"
"7.70000","5.40802","-0.00906"
"7.80000","5.57472","-0.00378"
"7.90000","5.74142","-0.00647"
"8.00000","5.90831","-0.00008"
"8.10000","6.07494","-0.00031"
"8.20000","6.24142","0.00202"
"8.30000","6.40805","-0.00654"
"8.40000","6.57477","-0.00278"
"8.50000","6.74149","0.00121"
"8.60000","6.90810","0.00236"
"8.70000","7.07469","0.00450"
"8.80000","7.24149","-0.00200"
"8.90000","7.40830","0.00385"
"9.00000","7.57493","0.00247"
"9.10000","7.74148","0.00014"
"9.20000","7.90810","-0.00224"
"9.30000","8.07467","0.00945"
"9.40000","8.24139","0.00438"
"9.50000","8.40809","0.00820"
"9.60000","8.57482","0.00178"
"9.70000","8.74132","-0.00195"
"9.80000","8.90806","0.00505"
