Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.01174"
"0.10000","0.12488","-0.01003"
"0.20000","0.29826","-0.00883"
"0.30000","0.46562","-0.00300"
"0.40000","0.63244","-0.01073"
"0.50000","0.79914","-0.01228"
"0.60000","0.96589","-0.00658"
"0.70000","1.13263","-0.00744"
"0.80000","1.29917","-0.00846"
"0.90000","1.46587","-0.01164"
"1.00000","1.63249","-0.00847"
"1.10000","1.79908","-0.00770"
"1.20000","1.96577","-0.00891"
"1.30000","2.13242","-0.01375"
"1.40000","2.29917","-0.00979"
"1.50000","2.46601","-0.01466"
"1.60000","2.63262","-0.00156"
"1.70000","2.79925","0.00115"
"1.80000","2.96582","-0.00132"
"1.90000","3.13253","-0.00758"
"2.00000","3.29902","-0.00586"
"2.10000","3.46556","0.00182"
"2.20000","3.63244","-0.00588"
"2.30000","3.79913","-0.00845"
"2.40000","3.96598","-0.00572"
"2.50000","4.13263","-0.00948"
"2.60000","4.29925","-0.00634"
"2.70000","4.46587","-0.00207"
"2.80000","4.63249","-0.00568"
"2.90000","4.79910","-0.00594"
"3.00000","4.96575","-0.00575"
"3.10000","5.13246","-0.00978"
"3.20000","5.29923","-0.00509"
"3.30000","5.46605","0.00365"
"3.40000","5.63259","-0.01202"
"3.50000","5.79916","0.00570"
"3.60000","5.96574","-0.00302"
"3.70000","6.13244","-0.00578"
"3.80000","6.29907","0.00238"
"3.90000","6.46576","0.00174"
"4.00000","6.63238","-0.00939"
"4.10000","6.79926","-0.00052"
"4.20000","6.96599","-0.00235"
"4.30000","7.13247","-0.00047"
"4.40000","7.29924","-0.00350"
"4.50000","7.46585","0.00114"
"4.60000","7.63245","-0.00025"
"4.70000","7.79908","-0.00503"
"4.80000","7.96565","-0.00228"
"4.90000","8.13246","0.00011"
"5.00000","8.29926","0.00348"
"5.10000","8.46588","0.00014"
"5.20000","8.63251","-0.00464"
"5.30000","8.79911","0.00096"
"5.40000","8.96601","-0.00122"
"5.50000","9.13248","-0.00696"
"5.60000","9.29906","-0.00433"
"5.70000","9.46576","0.00333"
"5.80000","9.63235","0.00402"
"5.90000","9.79920","-0.00290"
"6.00000","9.96596","-0.00159"
"6.10000","10.13263","0.00122"
"6.20000","10.29921","0.00030"
"6.30000","10.46584","-0.00387"
"6.40000","10.63259","-0.00020"
"6.50000","10.79916","0.00462"
"6.60000","10.96561","0.00525"
"6.70000","11.13236","-0.00092"
"6.80000","11.29914","-0.00145"
"6.90000","11.46601","0.00127"
"7.00000","11.63273","0.00487"
"7.10000","11.79924","0.00457"
"7.20000","11.96588","0.00163"
"7.30000","12.13246","0.00251"
"7.40000","12.29917","0.00221"
"7.50000","12.46577","0.00856"
"7.60000","12.63241","0.00317"
"7.70000","12.79928","0.00631"
"7.80000","12.96592","0.00419"
"7.90000","13.13263","0.00790"
"8.00000","13.29931","-0.00141"
"8.10000","13.46585","0.00135"
"8.20000","13.63240","0.01040"
"8.30000","13.79903","0.00529"
"8.40000","13.96574","0.00183"
"8.50000","14.13243","0.00538"
"8.60000","14.29925","0.00486"
